,Track_ID,Track_Name,Popularity,Artist_Name,Artist_Popularity,Album_Type,Album_Total_Tracks,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence,Release_Year
0,51pshtuYkgUQnt5huMPbKL,The Spins,81,Mac Miller,88,album,16,0.0135,0.794,0.766,0.0,9,0.0785,-3.894,0,0.0377,127.007,4,0.55,2010
1,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,80,Bruno Mars,93,album,10,0.511,0.498,0.59,0.0,1,0.107,-4.721,0,0.032,145.867,4,0.0784,2010
2,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,79,Bruno Mars,93,album,10,0.0134,0.635,0.841,0.0,5,0.0622,-5.379,1,0.0422,109.021,4,0.424,2010
3,0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,79,Roar,69,single,6,0.0447,0.247,0.438,0.000867,5,0.111,-8.478,1,0.0358,185.711,3,0.39,2010
4,2tJulUYLDKOg9XrtVkMgcJ,Grenade,76,Bruno Mars,93,album,10,0.148,0.704,0.558,0.0,2,0.107,-7.273,0,0.0542,110.444,4,0.245,2010
5,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),75,Waka Flocka Flame,71,album,17,0.00544,0.76,0.595,0.0,1,0.241,-6.366,1,0.0391,131.497,4,0.361,2010
6,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,77,Kanye West,96,album,13,0.0175,0.435,0.76,0.0,8,0.158,-4.935,0,0.0721,80.082,4,0.206,2010
7,0JXXNGljqupsJaZsgSbMZV,Sure Thing,77,Miguel,82,album,13,0.0267,0.684,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,4,0.498,2010
8,0V5cvmTKsYmF5FmGGEAfmS,Je te laisserai des mots,82,Patrick Watson,75,single,1,0.989,0.303,0.187,0.489,2,0.101,-16.757,1,0.0356,132.731,4,0.213,2010
9,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",81,Train,77,album,19,0.185,0.673,0.886,0.0,1,0.0826,-4.44,0,0.0431,97.012,4,0.795,2010
10,3DK6m7It6Pw857FcQftMds,Runaway,76,Kanye West,96,album,13,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,4,0.111,2010
11,3hlksXnvbKogFdPbpO9vel,Super Bass,77,Nicki Minaj,90,album,21,0.271,0.723,0.86,4.56e-06,11,0.598,-4.357,1,0.203,126.979,4,0.667,2010
12,4GRFzKI7jTZ3kbMfouc7bn,Backstabber,80,Kesha,82,album,18,0.0666,0.6,0.939,6.18e-06,7,0.34,-1.794,1,0.19,159.941,4,0.833,2010
13,2gZUPNdnz5Y45eiGxpHGSc,POWER,77,Kanye West,96,album,13,0.0161,0.542,0.914,0.0,0,0.744,-4.747,0,0.113,153.993,4,0.576,2010
14,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,79,Kesha,82,album,18,0.0991,0.755,0.837,0.0,2,0.289,-2.718,0,0.142,120.028,4,0.714,2010
15,0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,75,Dr. Dog,67,album,18,0.132,0.454,0.82,0.000969,2,0.115,-4.193,1,0.0567,166.303,4,0.575,2010
16,10eBRyImhfqVvkiVEGf0N0,Enchanted,71,Taylor Swift,98,album,14,0.0739,0.455,0.623,0.000424,8,0.146,-3.878,1,0.0288,163.893,4,0.208,2010
17,6epn3r7S14KUqlReYr77hA,Baby,80,Justin Bieber,97,album,10,0.0401,0.728,0.859,0.0,5,0.111,-5.237,0,0.137,65.043,4,0.535,2010
18,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,80,Eminem,95,album,17,0.241,0.749,0.925,0.0,10,0.52,-5.034,1,0.227,86.989,4,0.641,2010
19,2ncLdwTd8qzkxiJjlbiOgC,Mr. Rager,71,Kid Cudi,86,album,17,0.38,0.675,0.734,0.895,7,0.141,-8.659,1,0.0265,101.998,4,0.533,2010
